Category,Total (MEUR),NA
Kokotekstiaineisto,46.245362,35.9
Kokotekstiaineisto;Viitetietokanta,21.426998,16.6
Kokotekstiaineisto;Viitetietokanta;Hakuteos;E-kirjapaketti,10.228395,7.9
Kokotekstiaineisto;Viitetietokanta;Hakuteos,9.310071,7.2
Viitetietokanta,6.253235,4.9
Kokotekstiaineisto;Hakuteos,5.771714,4.5
Kokotekstiaineisto;E-kirjapaketti,4.039302,3.1
Kokotekstiaineisto;Viitetietokanta;Muu,3.652121,2.8
Hakuteos,3.5785,2.8
Kokotekstiaineisto;Viitetietokanta;E-kirjapaketti,3.123201,2.4
Kokotekstiaineisto;Viitetietokanta;E-kirjapaketti;Hakuteos,1.898544,1.5
Kokotekstiaineisto;E-kirjapaketti;Hakuteos,1.720568,1.3
Muu elektroninen palvelu,1.619768,1.3
Kokotekstiaineisto;Viitetietokanta;E-kirjapaketti;Muu elektroninen palvelu,1.567702,1.2
E-kirjapaketti,0.932117,0.7
Kokotekstiaineisto;Viitetietokanta;E-kirjapaketti;Muu,0.787296,0.6
Muu,0.743639,0.6
Kokotekstiaineisto;E-kirjapaketti;Muu elektroninen palvelu,0.742696,0.6
Kokotekstiaineisto;Viitetietokanta;Hakuteos;Muu,0.63026,0.5
Kokotekstiaineisto;Viitetietokanta;Muu elektroninen palvelu,0.625618,0.5
Kokotekstiaineisto;Muu elektroninen palvelu,0.540538,0.4
Sanakirja,0.509811,0.4
E-kirjapaketti;Hakuteos,0.471857,0.4
Kokotekstiaineisto;Hakuteos;Sanakirja,0.408174,0.3
Kokotekstiaineisto;Hakuteos;Muu elektroninen palvelu,0.288658,0.2
Hakuteos;Sanakirja,0.226991,0.2
E-kirjapaketti;Muu elektroninen palvelu,0.181978,0.1
Kokotekstiaineisto;E-kirjapaketti;Hakuteos;Muu elektroninen palvelu,0.175432,0.1
Kokotekstiaineisto;E-kirjapaketti;Muu,0.154381,0.1
Kokotekstiaineisto;E-kirjapaketti;Muu elektroninen palvelu;Muu,0.149447,0.1
Hakuteos;Muu elektroninen palvelu,0.113923,0.1
Viitetietokanta;E-kirjapaketti;Muu elektroninen palvelu,0.108782,0.1
Kokotekstiaineisto;Viitetietokanta;Hakuteos;Sanakirja,0.099707,0.1
E-kirjapaketti;Sanakirja,0.081603,0.1
Kokotekstiaineisto;Sanakirja,0.066472,0.1
Hakuteos;Muu,0.06158,0
Sanakirja;Muu elektroninen palvelu,0.058739,0
Kokotekstiaineisto;E-kirjapaketti;Hakuteos;Sanakirja,0.037668,0
E-kirjapaketti;Muu,0.034566,0
E-kirjapaketti;Sanakirja;Muu elektroninen palvelu,0.031464,0
Hakuteos;E-kirjapaketti,0.02906,0
E-kirjapaketti;Hakuteos;Muu elektroninen palvelu,0.027373,0
Viitetietokanta;Muu elektroninen palvelu,0.023787,0
Kokotekstiaineisto;Viitetietokanta;Hakuteos;Muu elektroninen palvelu,0.023397,0
Kokotekstiaineisto;E-kirjapaketti;Hakuteos;Muu,0.022398,0
Kokotekstiaineisto;Viitetietokanta;E-kirjapaketti;Hakuteos;Muu,0.016582,0
Kokotekstiaineisto;Hakuteos;Muu,0.013756,0
Viitetietokanta;Hakuteos,0.012878,0
Viitetietokanta;E-kirjapaketti;Muu,0.010028,0
Hakuteos;Sanakirja;Muu elektroninen palvelu,0.006084,0
Kokotekstiaineisto; Viitetietokanta;Muu,0.005554,0
