Material,Total (MEUR)
Kokotekstiaineisto,46.245362
Kokotekstiaineisto;Viitetietokanta,21.426998
Kokotekstiaineisto;Viitetietokanta;Hakuteos;E-kirjapaketti,10.228395
Kokotekstiaineisto;Viitetietokanta;Hakuteos,9.310071
Viitetietokanta,6.253235
Kokotekstiaineisto;Hakuteos,5.771714
Kokotekstiaineisto;E-kirjapaketti,4.039302
Kokotekstiaineisto;Viitetietokanta;Muu,3.652121
Hakuteos,3.5785
Kokotekstiaineisto;Viitetietokanta;E-kirjapaketti,3.123201
Kokotekstiaineisto;Viitetietokanta;E-kirjapaketti;Hakuteos,1.898544
Kokotekstiaineisto;E-kirjapaketti;Hakuteos,1.720568
Muu elektroninen palvelu,1.619768
Kokotekstiaineisto;Viitetietokanta;E-kirjapaketti;Muu elektroninen palvelu,1.567702
E-kirjapaketti,0.932117
Kokotekstiaineisto;Viitetietokanta;E-kirjapaketti;Muu,0.787296
Muu,0.743639
Kokotekstiaineisto;E-kirjapaketti;Muu elektroninen palvelu,0.742696
Kokotekstiaineisto;Viitetietokanta;Hakuteos;Muu,0.63026
Kokotekstiaineisto;Viitetietokanta;Muu elektroninen palvelu,0.625618
Kokotekstiaineisto;Muu elektroninen palvelu,0.540538
Sanakirja,0.509811
E-kirjapaketti;Hakuteos,0.471857
Kokotekstiaineisto;Hakuteos;Sanakirja,0.408174
Kokotekstiaineisto;Hakuteos;Muu elektroninen palvelu,0.288658
Hakuteos;Sanakirja,0.226991
E-kirjapaketti;Muu elektroninen palvelu,0.181978
Kokotekstiaineisto;E-kirjapaketti;Hakuteos;Muu elektroninen palvelu,0.175432
Kokotekstiaineisto;E-kirjapaketti;Muu,0.154381
Kokotekstiaineisto;E-kirjapaketti;Muu elektroninen palvelu;Muu,0.149447
Hakuteos;Muu elektroninen palvelu,0.113923
Viitetietokanta;E-kirjapaketti;Muu elektroninen palvelu,0.108782
Kokotekstiaineisto;Viitetietokanta;Hakuteos;Sanakirja,0.099707
E-kirjapaketti;Sanakirja,0.081603
Kokotekstiaineisto;Sanakirja,0.066472
Hakuteos;Muu,0.06158
Sanakirja;Muu elektroninen palvelu,0.058739
Kokotekstiaineisto;E-kirjapaketti;Hakuteos;Sanakirja,0.037668
E-kirjapaketti;Muu,0.034566
E-kirjapaketti;Sanakirja;Muu elektroninen palvelu,0.031464
Hakuteos;E-kirjapaketti,0.02906
E-kirjapaketti;Hakuteos;Muu elektroninen palvelu,0.027373
Viitetietokanta;Muu elektroninen palvelu,0.023787
Kokotekstiaineisto;Viitetietokanta;Hakuteos;Muu elektroninen palvelu,0.023397
Kokotekstiaineisto;E-kirjapaketti;Hakuteos;Muu,0.022398
Kokotekstiaineisto;Viitetietokanta;E-kirjapaketti;Hakuteos;Muu,0.016582
Kokotekstiaineisto;Hakuteos;Muu,0.013756
Viitetietokanta;Hakuteos,0.012878
Viitetietokanta;E-kirjapaketti;Muu,0.010028
Hakuteos;Sanakirja;Muu elektroninen palvelu,0.006084
Kokotekstiaineisto; Viitetietokanta;Muu,0.005554
