Organization,Total (MEUR)
Helsingin yliopisto,24
Aalto-yliopisto,16
Oulun yliopisto,11
Turun yliopisto,11
Itä-Suomen yliopisto,9
Jyväskylän yliopisto,8
Tampereen teknillinen yliopisto,7
Tampereen yliopisto,7
Åbo Akademi,5
Teknologian tutkimuskeskus (VTT),4
Hanken Svenska handelshögskolan,2
Lappeenrannan teknillinen yliopisto,2
Centria-ammattikorkeakoulu,1
Diakonia-ammattikorkeakoulu (Diak),1
Geologian tutkimuskeskus (GTK),1
Haaga-Helia ammattikorkeakoulu,1
Ilmatieteen laitos,1
Jyväskylän ammattikorkeakoulu (JAMK),1
Kansaneläkelaitos (Kela),1
Lääkealan turvallisuus- ja kehittämiskeskus Fimea,1
Lahden ammattikorkeakoulu (LAMK),1
Lapin yliopisto,1
Laurea-ammattikorkeakoulu,1
Maa- ja elintarviketalouden tutkimuskeskus (MTT),1
Metropolia Ammattikorkeakoulu,1
Metsäntutkimuslaitos (Metla),1
Oulun ammattikorkeakoulu,1
Satakunnan ammattikorkeakoulu (SAMK),1
Savonia-ammattikorkeakoulu,1
Seinäjoen ammattikorkeakoulu (SeAMK),1
Suomen ympäristökeskus (SYKE),1
Tampereen ammattikorkeakoulu (TAMK),1
Turun ammattikorkeakoulu,1
Työterveyslaitos (TTL),1
Vaasan yliopisto,1
Valtion taloudellinen tutkimuskeskus (VATT),1
Arcada ammattikorkeakoulu,0
Eduskunnan kirjasto,0
Hämeen ammattikorkeakoulu (HAMK),0
Helsingin yliopisto/Kansalliskirjasto,0
Humanistinen ammattikorkeakoulu (Humak),0
Kaakkois-Suomen ammattikorkeakoulu (XAMK),0
Kajaanin ammattikorkeakoulu (KAMK),0
Kansallisgallerian kirjasto,0
Kansalliskirjasto,0
Karelia-ammattikorkeakoulu,0
Kuvataideakatemia,0
Kymenlaakson ammattikorkeakoulu (KyAMK),0
Lapin ammattikorkeakoulu,0
Luonnonvarakeskus (Luke),0
Maanmittauslaitos,0
Mikkelin ammattikorkeakoulu (MAMK),0
Poliisiammattikorkeakoulu (Polamk),0
Riista- ja kalatalouden tutkimuslaitos (RKTL),0
Saimaan ammattikorkeakoulu,0
Sibelius-Akatemia,0
Suomen Akatemia,0
Taideyliopisto,0
Teatterikorkeakoulu,0
Ulkopoliittinen instituutti (UPI),0
Vaasan ammattikorkeakoulu (VAMK),0
Yrkeshögskolan Novia,0
