Organization,2010,2011,2012,2013,2014,2015
Aalto-yliopisto,2.248623,2.400151,2.671444,2.710636,2.881007,3.071866
Åbo Akademi,0.747629,0.775087,0.789835,0.782377,0.894039,0.968501
Arcada ammattikorkeakoulu,0.065428,0.070312,0.074598,0.071526,0.066453,0.068417
Centria-ammattikorkeakoulu,0.083358,0.085634,0.094529,0.099596,0.099576,0.112399
Diakonia-ammattikorkeakoulu (Diak),0.059584,0.222564,0.056049,0.05266,0.054134,0.075299
Eduskunnan kirjasto,0.068779,0.075077,0.073075,0.059552,0.064389,0.077203
Geologian tutkimuskeskus (GTK),0.110591,0.115885,0.138743,0.147509,0.156965,0.194396
Haaga-Helia ammattikorkeakoulu,0.153267,0.161595,0.163073,0.174389,0.190434,0.20478
Hämeen ammattikorkeakoulu (HAMK),0.049954,0.048657,0.051145,0.053665,0.059623,0.066004
Hanken Svenska handelshögskolan,0.177853,0.199779,0.243117,0.255885,0.294457,0.33144
Helsingin yliopisto,3.319604,3.521049,3.913612,4.122839,4.458086,5.049849
Helsingin yliopisto/Kansalliskirjasto,0.012612,0.015441,0.010484,0.013316,0.008988,0.005473
Humanistinen ammattikorkeakoulu (Humak),0.015259,0.015386,0.02379,0.023997,0.024657,0.031366
Ilmatieteen laitos,0.03184,0.032477,0.12355,0.125732,0.131967,0.174183
Itä-Suomen yliopisto,0.900572,1.350358,1.431775,1.529345,1.692275,1.8242
Jyväskylän ammattikorkeakoulu (JAMK),0.099764,0.110238,0.100691,0.099677,0.087849,0.105077
Jyväskylän yliopisto,1.074439,1.136349,1.266066,1.306331,1.56894,1.728758
Kaakkois-Suomen ammattikorkeakoulu (XAMK),0,0,0,0,0.023605,0.047414
Kajaanin ammattikorkeakoulu (KAMK),0.036113,0.034282,0.062519,0.032392,0.029341,0.056703
Kansallisgallerian kirjasto,0.006332,0.006003,0.006167,0.005803,0.00564,0.006428
Kansalliskirjasto,0.009622,0.005476,0.006732,0.005874,0.007317,0.008135
Kansaneläkelaitos (Kela),0.100979,0.113843,0.115846,0.129937,0.133234,0.141709
Karelia-ammattikorkeakoulu,0.006644,0.020585,0.023315,0.025709,0.00875,0.008352
Kuvataideakatemia,0.004987,0.004975,0.005397,0,0,0
Kymenlaakson ammattikorkeakoulu (KyAMK),0.09477,0.108602,0.085877,0.07275,0.050573,0.05453
Lääkealan turvallisuus- ja kehittämiskeskus Fimea,0.061675,0.066163,0.100511,0.105754,0.110913,0.125914
Lahden ammattikorkeakoulu (LAMK),0.068944,0.08074,0.105798,0.112788,0.121104,0.153053
Lapin ammattikorkeakoulu,0,0,0,0,0.107999,0.129112
Lapin yliopisto,0.159254,0.165153,0.165415,0.171885,0.186724,0.21808
Lappeenrannan teknillinen yliopisto,0,0,0.354735,0.370915,0.394375,0.52531
Laurea-ammattikorkeakoulu,0.091674,0.089317,0.085164,0.098348,0.16505,0.188545
Luonnonvarakeskus (Luke),0,0,0,0,0,0.393444
Maa- ja elintarviketalouden tutkimuskeskus (MTT),0.13447,0.139048,0.142373,0.141963,0.157906,0
Maanmittauslaitos,0.012518,0.012987,0.013474,0.013979,0,0.015047
Metropolia Ammattikorkeakoulu,0.084555,0.07919,0.096692,0.104328,0.115132,0.139862
Metsäntutkimuslaitos (Metla),0.078514,0.084554,0.111618,0.117947,0.150065,0
Mikkelin ammattikorkeakoulu (MAMK),0.047169,0.041557,0.053927,0.056577,0.049104,0.051047
Oulun ammattikorkeakoulu,0.111449,0.118731,0.11468,0.106586,0.116887,0.15128
Oulun yliopisto,1.487181,1.571332,1.737721,1.832651,2.032261,2.174257
Poliisiammattikorkeakoulu (Polamk),0.013944,0.014119,0.01214,0.011464,0.034278,0.028802
Riista- ja kalatalouden tutkimuslaitos (RKTL),0.077413,0.081916,0.085265,0.090449,0.097447,0
Saimaan ammattikorkeakoulu,0,0,0.06628,0.075593,0.082065,0.093279
Satakunnan ammattikorkeakoulu (SAMK),0.099564,0.10426,0.105995,0.114382,0.114563,0.135058
Savonia-ammattikorkeakoulu,0.095793,0.099199,0.137702,0.141814,0.11926,0.137788
Seinäjoen ammattikorkeakoulu (SeAMK),0.111623,0.108515,0.127831,0.131824,0.133861,0.135681
Sibelius-Akatemia,0.020676,0.031695,0.025917,0,0,0
Suomen Akatemia,0.013449,0.015958,0.017744,0.023711,0.033361,0.036653
Suomen ympäristökeskus (SYKE),0.144778,0.152252,0.165429,0.18641,0.192169,0.213908
Taideyliopisto,0,0,0,0.059437,0.065385,0.072528
Tampereen ammattikorkeakoulu (TAMK),0.130479,0.132971,0.146268,0.150448,0.177877,0.219886
Tampereen teknillinen yliopisto,0.895404,1.047857,1.17476,1.18561,1.211557,1.300087
Tampereen yliopisto,0.913168,0.995882,1.086929,1.14221,1.279043,1.406319
Teatterikorkeakoulu,0.008205,0.003792,0.006067,0,0,0
Teknologian tutkimuskeskus (VTT),0.470665,0.493567,0.674721,0.710829,0.793345,0.809498
Turun ammattikorkeakoulu,0.126845,0.126105,0.138532,0.154186,0.162245,0.209609
Turun yliopisto,1.501675,1.600004,1.757469,1.792837,2.043203,2.349669
Työterveyslaitos (TTL),0.196071,0.206294,0.20372,0.207272,0.205697,0.220004
Ulkopoliittinen instituutti (UPI),0.00478,0,0.004633,0.006805,0.004745,0.005389
Vaasan ammattikorkeakoulu (VAMK),0.036399,0.040659,0.056374,0.057613,0.05964,0.074011
Vaasan yliopisto,0.170853,0.210798,0.224714,0.235228,0.256152,0.325587
Valtion taloudellinen tutkimuskeskus (VATT),0.073707,0.069599,0.078969,0.083849,0.093067,0.103238
Yrkeshögskolan Novia,0.041547,0.042672,0.054306,0.059966,0.063412,0.070965
Total,17,18.7,21,21.8,23.9,26.6
